,x´00,z´00,x´01,z´01,x´02,z´02,x´03,z´03,x´04,z´04,x´05,z´05,x´06,z´06,x´07,z´07,x´08,z´08,x´09,z´09,x´10,z´10,x´11,z´11,x´12,z´12,x´13,z´13,x´14,z´14,x´15,z´15,x´16,z´16,x´17,z´17,x´18,z´18,x´19,z´19,x´20,z´20,x´21,z´21,x´22,z´22,x´23,z´23,x´24,z´24,x´25,z´25,x´26,z´26,x´27,z´27,x´28,z´28,x´29,z´29,x´30,z´30,x´31,z´31,x´32,z´32,x´33,z´33,x´34,z´34,x´35,z´35,x´36,z´36,x´37,z´37,x´38,z´38,x´39,z´39,x´40,z´40,x´41,z´41,x´42,z´42,x´43,z´43,x´44,z´44,x´45,z´45,x´46,z´46,x´47,z´47,x´48,z´48,x´49,z´49,x´50,z´50,x´51,z´51,x´52,z´52,x´53,z´53,x´54,z´54,x´55,z´55,x´56,z´56,x´57,z´57,x´58,z´58,x´59,z´59,x´60,z´60,x´61,z´61,x´62,z´62,x´63,z´63,x´64,z´64,x´65,z´65,x´66,z´66,x´67,z´67,x´68,z´68,x´69,z´69,x´70,z´70,x´71,z´71,x´72,z´72,x´73,z´73,x´74,z´74,x´75,z´75,x´76,z´76,x´77,z´77,x´78,z´78,x´79,z´79,x´80,z´80,x´81,z´81,x´82,z´82,x´83,z´83,x´84,z´84,x´85,z´85,x´86,z´86,x´87,z´87,x´88,z´88,x´89,z´89,x´90,z´90,x´91,z´91,x´92,z´92,x´93,z´93,x´94,z´94,x´95,z´95,x´96,z´96,x´97,z´97,x´98,z´98,x´99,z´99
0,0.020634,2.069269,0.019341999999999998,2.069269,0.01803,2.069269,0.0167,2.069269,0.015354,2.069269,0.013992,2.069269,0.012615000000000001,2.069269,0.011226,2.069269,0.009826,2.069269,0.008416,2.069269,0.006998000000000001,2.069269,0.005572,2.069269,0.004141,2.069269,0.002705,2.069269,0.001267,2.069269,-0.000172,2.069269,-0.0016120000000000002,2.069269,-0.0030489999999999996,2.069269,-0.004484,2.069269,-0.005914,2.069269,-0.007338,2.069269,-0.008754999999999999,2.069269,-0.010162000000000001,2.069269,-0.011559999999999999,2.069269,-0.012946000000000001,2.069269,-0.014319,2.069269,-0.015678,2.069269,-0.01702,2.069269,-0.018346,2.069269,-0.019653,2.069269,-0.020941,2.069269,-0.022207,2.069269,-0.023451,2.069269,-0.024671000000000002,2.069269,-0.025866000000000004,2.069269,-0.027036,2.069269,-0.028177999999999998,2.069269,-0.029292000000000002,2.069269,-0.030376,2.069269,-0.03143,2.069269,-0.032451999999999995,2.069269,-0.033442,2.069269,-0.034397000000000004,2.069269,-0.035318,2.069269,-0.036204,2.069269,-0.037052999999999996,2.069269,-0.037864999999999996,2.069269,-0.038638,2.069269,-0.039373000000000005,2.069269,-0.040068,2.069269,-0.040723,2.069269,-0.041337,2.069269,-0.041908999999999995,2.069269,-0.042439,2.069269,-0.042926,2.069269,-0.04337,2.069269,-0.043769999999999996,2.069269,-0.044127,2.069269,-0.044438,2.069269,-0.044705,2.069269,-0.044927999999999996,2.069269,-0.045104000000000005,2.069269,-0.045236,2.069269,-0.045322,2.069269,-0.045362,2.069269,-0.045356,2.069269,-0.045305,2.069269,-0.045208,2.069269,-0.045066,2.069269,-0.044877999999999994,2.069269,-0.044646,2.069269,-0.044368,2.069269,-0.044045,2.069269,-0.043679,2.069269,-0.043268,2.069269,-0.042813,2.069269,-0.042316,2.069269,-0.041776,2.069269,-0.041194,2.069269,-0.04057,2.069269,-0.039906,2.069269,-0.039201,2.069269,-0.038457,2.069269,-0.037674,2.069269,-0.036853,2.069269,-0.035995,2.069269,-0.035101,2.069269,-0.034172,2.069269,-0.033208,2.069269,-0.03221,2.069269,-0.031181,2.069269,-0.030119,2.069269,-0.029027999999999998,2.069269,-0.027906999999999998,2.069269,-0.026757999999999997,2.069269,-0.025583,2.069269,-0.024381,2.069269,-0.023155000000000002,2.069269,-0.021906000000000002,2.069269,-0.020634,2.069269
1,0.104137,2.011542,0.100874,2.011542,0.097509,2.011542,0.094046,2.011542,0.090488,2.011542,0.086839,2.011542,0.083102,2.011542,0.079282,2.011542,0.075382,2.011542,0.071406,2.011542,0.067359,2.011542,0.063243,2.011542,0.059064,2.011542,0.054825,2.011542,0.050531,2.011542,0.046187,2.011542,0.041795,2.011542,0.037362,2.011542,0.032891000000000004,2.011542,0.028387,2.011542,0.023854,2.011542,0.019296999999999998,2.011542,0.014721000000000001,2.011542,0.01013,2.011542,0.005529,2.011542,0.0009220000000000001,2.011542,-0.0036850000000000003,2.011542,-0.008289,2.011542,-0.012884999999999999,2.011542,-0.017468,2.011542,-0.022033,2.011542,-0.026576,2.011542,-0.031092,2.011542,-0.035577,2.011542,-0.040025,2.011542,-0.044433999999999994,2.011542,-0.048798,2.011542,-0.053113,2.011542,-0.057374,2.011542,-0.061577999999999994,2.011542,-0.065719,2.011542,-0.06979500000000001,2.011542,-0.0738,2.011542,-0.077731,2.011542,-0.081583,2.011542,-0.085353,2.011542,-0.089038,2.011542,-0.09263300000000001,2.011542,-0.096134,2.011542,-0.099539,2.011542,-0.102843,2.011542,-0.106044,2.011542,-0.10913800000000001,2.011542,-0.112123,2.011542,-0.114994,2.011542,-0.11775,2.011542,-0.120387,2.011542,-0.122902,2.011542,-0.12529400000000002,2.011542,-0.12755999999999998,2.011542,-0.129698,2.011542,-0.131704,2.011542,-0.133579,2.011542,-0.135318,2.011542,-0.13692200000000002,2.011542,-0.13838699999999998,2.011542,-0.139714,2.011542,-0.140899,2.011542,-0.141943,2.011542,-0.142844,2.011542,-0.143601,2.011542,-0.144213,2.011542,-0.14468,2.011542,-0.145001,2.011542,-0.145177,2.011542,-0.145206,2.011542,-0.14508900000000002,2.011542,-0.144826,2.011542,-0.14441700000000002,2.011542,-0.14386300000000002,2.011542,-0.143164,2.011542,-0.142321,2.011542,-0.141334,2.011542,-0.140205,2.011542,-0.138935,2.011542,-0.137525,2.011542,-0.135977,2.011542,-0.13429100000000002,2.011542,-0.132471,2.011542,-0.130517,2.011542,-0.128431,2.011542,-0.126217,2.011542,-0.123875,2.011542,-0.12140799999999999,2.011542,-0.11881900000000001,2.011542,-0.11611099999999999,2.011542,-0.11328599999999998,2.011542,-0.110346,2.011542,-0.107296,2.011542,-0.104137,2.011542
2,0.089024,2.053986,0.087387,2.053986,0.085662,2.053986,0.08385,2.053986,0.081954,2.053986,0.079975,2.053986,0.077916,2.053986,0.075779,2.053986,0.07356499999999999,2.053986,0.071277,2.053986,0.06891699999999999,2.053986,0.066488,2.053986,0.063992,2.053986,0.06143200000000001,2.053986,0.058809,2.053986,0.056128,2.053986,0.05339,2.053986,0.050598000000000004,2.053986,0.047755,2.053986,0.044864,2.053986,0.041928,2.053986,0.03895,2.053986,0.035933,2.053986,0.032879000000000005,2.053986,0.029792000000000003,2.053986,0.026676,2.053986,0.023532,2.053986,0.020365,2.053986,0.017177,2.053986,0.013972,2.053986,0.010753,2.053986,0.007523,2.053986,0.004285,2.053986,0.0010429999999999999,2.053986,-0.0022,2.053986,-0.0054399999999999995,2.053986,-0.008676,2.053986,-0.011902,2.053986,-0.015116999999999998,2.053986,-0.018316,2.053986,-0.021497,2.053986,-0.024656,2.053986,-0.02779,2.053986,-0.030897000000000004,2.053986,-0.033972,2.053986,-0.037013,2.053986,-0.040017000000000004,2.053986,-0.042980000000000004,2.053986,-0.045901,2.053986,-0.048775,2.053986,-0.0516,2.053986,-0.054373000000000005,2.053986,-0.057090999999999996,2.053986,-0.059752,2.053986,-0.062352,2.053986,-0.06489,2.053986,-0.067362,2.053986,-0.069767,2.053986,-0.072101,2.053986,-0.074363,2.053986,-0.07655,2.053986,-0.07866000000000001,2.053986,-0.08069,2.053986,-0.08263999999999999,2.053986,-0.084506,2.053986,-0.086287,2.053986,-0.08798099999999999,2.053986,-0.089587,2.053986,-0.091102,2.053986,-0.092526,2.053986,-0.093856,2.053986,-0.095092,2.053986,-0.096232,2.053986,-0.097275,2.053986,-0.098221,2.053986,-0.099067,2.053986,-0.099814,2.053986,-0.10046000000000001,2.053986,-0.101005,2.053986,-0.101449,2.053986,-0.10178999999999999,2.053986,-0.102029,2.053986,-0.10216499999999999,2.053986,-0.102198,2.053986,-0.102128,2.053986,-0.10195499999999999,2.053986,-0.10167999999999999,2.053986,-0.101302,2.053986,-0.100823,2.053986,-0.100241,2.053986,-0.09955900000000001,2.053986,-0.098777,2.053986,-0.09789500000000001,2.053986,-0.096915,2.053986,-0.095837,2.053986,-0.094662,2.053986,-0.093392,2.053986,-0.092028,2.053986,-0.090572,2.053986,-0.089024,2.053986
3,0.058903,1.949353,0.056726,1.949353,0.054492,1.949353,0.052203,1.949353,0.049861,1.949353,0.04747,1.949353,0.04503,1.949353,0.042545,1.949353,0.040018,1.949353,0.03745,1.949353,0.034844,1.949353,0.032202999999999996,1.949353,0.02953,1.949353,0.026826999999999997,1.949353,0.024097,1.949353,0.021343,1.949353,0.018567,1.949353,0.015773,1.949353,0.012962000000000001,1.949353,0.010139,1.949353,0.007305,1.949353,0.004465,1.949353,0.0016190000000000002,1.949353,-0.001228,1.949353,-0.004074,1.949353,-0.006915,1.949353,-0.00975,1.949353,-0.012575,1.949353,-0.015387,1.949353,-0.018184,1.949353,-0.020963,1.949353,-0.023719999999999998,1.949353,-0.026452999999999997,1.949353,-0.029160000000000002,1.949353,-0.031838,1.949353,-0.034483,1.949353,-0.037094,1.949353,-0.039667,1.949353,-0.0422,1.949353,-0.044691,1.949353,-0.047137,1.949353,-0.049536000000000004,1.949353,-0.051884000000000007,1.949353,-0.05417999999999999,1.949353,-0.056422,1.949353,-0.058607000000000006,1.949353,-0.060733,1.949353,-0.062798,1.949353,-0.064799,1.949353,-0.066736,1.949353,-0.068605,1.949353,-0.070405,1.949353,-0.072134,1.949353,-0.07379,1.949353,-0.075373,1.949353,-0.076879,1.949353,-0.078308,1.949353,-0.079658,1.949353,-0.080928,1.949353,-0.082116,1.949353,-0.083222,1.949353,-0.084244,1.949353,-0.08518099999999999,1.949353,-0.08603200000000001,1.949353,-0.086797,1.949353,-0.087474,1.949353,-0.088063,1.949353,-0.088563,1.949353,-0.088975,1.949353,-0.089297,1.949353,-0.089528,1.949353,-0.08967,1.949353,-0.08972100000000001,1.949353,-0.08968200000000001,1.949353,-0.089553,1.949353,-0.089334,1.949353,-0.089024,1.949353,-0.088625,1.949353,-0.08813700000000001,1.949353,-0.08756,1.949353,-0.086895,1.949353,-0.086142,1.949353,-0.085303,1.949353,-0.084377,1.949353,-0.083367,1.949353,-0.082273,1.949353,-0.081096,1.949353,-0.079837,1.949353,-0.078498,1.949353,-0.07708,1.949353,-0.075584,1.949353,-0.074012,1.949353,-0.072366,1.949353,-0.070647,1.949353,-0.068856,1.949353,-0.066997,1.949353,-0.065069,1.949353,-0.063077,1.949353,-0.061021000000000006,1.949353,-0.058903,1.949353
4,0.03545,1.9525259999999998,0.03305,1.9525259999999998,0.030616,1.9525259999999998,0.028151999999999996,1.9525259999999998,0.025658999999999998,1.9525259999999998,0.023141,1.9525259999999998,0.020599,1.9525259999999998,0.018037,1.9525259999999998,0.015456000000000001,1.9525259999999998,0.01286,1.9525259999999998,0.010251,1.9525259999999998,0.007631999999999999,1.9525259999999998,0.005004,1.9525259999999998,0.002372,1.9525259999999998,-0.000262,1.9525259999999998,-0.002897,1.9525259999999998,-0.005528,1.9525259999999998,-0.008154,1.9525259999999998,-0.010771,1.9525259999999998,-0.013378,1.9525259999999998,-0.015971,1.9525259999999998,-0.018549,1.9525259999999998,-0.021107,1.9525259999999998,-0.023644,1.9525259999999998,-0.026157999999999997,1.9525259999999998,-0.028645,1.9525259999999998,-0.031103,1.9525259999999998,-0.033530000000000004,1.9525259999999998,-0.035923000000000004,1.9525259999999998,-0.03828,1.9525259999999998,-0.040599,1.9525259999999998,-0.042876,1.9525259999999998,-0.045111,1.9525259999999998,-0.0473,1.9525259999999998,-0.049441000000000006,1.9525259999999998,-0.051533,1.9525259999999998,-0.053573,1.9525259999999998,-0.055558,1.9525259999999998,-0.057488,1.9525259999999998,-0.05936,1.9525259999999998,-0.061172000000000004,1.9525259999999998,-0.062923,1.9525259999999998,-0.06461,1.9525259999999998,-0.066232,1.9525259999999998,-0.067788,1.9525259999999998,-0.069275,1.9525259999999998,-0.07069199999999999,1.9525259999999998,-0.07203899999999999,1.9525259999999998,-0.073312,1.9525259999999998,-0.074512,1.9525259999999998,-0.075637,1.9525259999999998,-0.076686,1.9525259999999998,-0.077657,1.9525259999999998,-0.078551,1.9525259999999998,-0.07936499999999999,1.9525259999999998,-0.080099,1.9525259999999998,-0.08075299999999999,1.9525259999999998,-0.081325,1.9525259999999998,-0.081816,1.9525259999999998,-0.082224,1.9525259999999998,-0.082549,1.9525259999999998,-0.082791,1.9525259999999998,-0.08295,1.9525259999999998,-0.083025,1.9525259999999998,-0.083017,1.9525259999999998,-0.082925,1.9525259999999998,-0.08275,1.9525259999999998,-0.082491,1.9525259999999998,-0.082149,1.9525259999999998,-0.081725,1.9525259999999998,-0.081218,1.9525259999999998,-0.08062899999999999,1.9525259999999998,-0.079959,1.9525259999999998,-0.079209,1.9525259999999998,-0.07837899999999999,1.9525259999999998,-0.07747000000000001,1.9525259999999998,-0.07648300000000001,1.9525259999999998,-0.075419,1.9525259999999998,-0.074279,1.9525259999999998,-0.07306499999999999,1.9525259999999998,-0.07177599999999999,1.9525259999999998,-0.07041599999999999,1.9525259999999998,-0.068984,1.9525259999999998,-0.067483,1.9525259999999998,-0.065914,1.9525259999999998,-0.064279,1.9525259999999998,-0.062579,1.9525259999999998,-0.060815999999999995,1.9525259999999998,-0.058991999999999996,1.9525259999999998,-0.057108000000000006,1.9525259999999998,-0.055166999999999994,1.9525259999999998,-0.053171,1.9525259999999998,-0.051121,1.9525259999999998,-0.049019,1.9525259999999998,-0.046868,1.9525259999999998,-0.04467,1.9525259999999998,-0.042426,1.9525259999999998,-0.040139999999999995,1.9525259999999998,-0.037814,1.9525259999999998,-0.03545,1.9525259999999998
5,0.091926,1.934668,0.090303,1.934668,0.08859,1.934668,0.086787,1.934668,0.084897,1.934668,0.08292200000000001,1.934668,0.080863,1.934668,0.078722,1.934668,0.076503,1.934668,0.074206,1.934668,0.07183400000000001,1.934668,0.069391,1.934668,0.06687699999999999,1.934668,0.064296,1.934668,0.06165,1.934668,0.058942999999999995,1.934668,0.056175,1.934668,0.053352,1.934668,0.050474,1.934668,0.047546,1.934668,0.04457,1.934668,0.041549,1.934668,0.038486,1.934668,0.035384,1.934668,0.032247000000000005,1.934668,0.029077999999999996,1.934668,0.025879000000000003,1.934668,0.022654,1.934668,0.019406,1.934668,0.016138,1.934668,0.012855000000000002,1.934668,0.009558,1.934668,0.006252000000000001,1.934668,0.002939,1.934668,-0.000376,1.934668,-0.003691,1.934668,-0.0070019999999999995,1.934668,-0.010306999999999998,1.934668,-0.013600999999999999,1.934668,-0.016881,1.934668,-0.020144,1.934668,-0.023387,1.934668,-0.026606,1.934668,-0.029799000000000003,1.934668,-0.032962,1.934668,-0.036091000000000005,1.934668,-0.039184,1.934668,-0.042238,1.934668,-0.045249,1.934668,-0.048214,1.934668,-0.051131,1.934668,-0.053997,1.934668,-0.056808000000000004,1.934668,-0.059562000000000004,1.934668,-0.06225599999999999,1.934668,-0.064887,1.934668,-0.067453,1.934668,-0.069951,1.934668,-0.072379,1.934668,-0.07473300000000001,1.934668,-0.077013,1.934668,-0.079215,1.934668,-0.081337,1.934668,-0.08337699999999999,1.934668,-0.085333,1.934668,-0.08720399999999999,1.934668,-0.088986,1.934668,-0.090679,1.934668,-0.09228099999999999,1.934668,-0.09379,1.934668,-0.095204,1.934668,-0.096522,1.934668,-0.097743,1.934668,-0.098866,1.934668,-0.09988999999999999,1.934668,-0.100812,1.934668,-0.101633,1.934668,-0.102352,1.934668,-0.102968,1.934668,-0.10347999999999999,1.934668,-0.10388800000000001,1.934668,-0.104191,1.934668,-0.10439000000000001,1.934668,-0.10448299999999999,1.934668,-0.10447100000000001,1.934668,-0.104354,1.934668,-0.10413199999999999,1.934668,-0.103805,1.934668,-0.103373,1.934668,-0.10283800000000001,1.934668,-0.102198,1.934668,-0.10145599999999999,1.934668,-0.10061200000000001,1.934668,-0.09966599999999999,1.934668,-0.09862,1.934668,-0.097475,1.934668,-0.096232,1.934668,-0.094891,1.934668,-0.093456,1.934668,-0.091926,1.934668
6,0.093052,1.968841,0.089326,1.968841,0.085509,1.968841,0.081606,1.968841,0.07762100000000001,1.968841,0.073558,1.968841,0.06942000000000001,1.968841,0.065213,1.968841,0.06094,1.968841,0.056606,1.968841,0.052215,1.968841,0.047771,1.968841,0.043279000000000005,1.968841,0.038744,1.968841,0.034169,1.968841,0.029560000000000003,1.968841,0.024922,1.968841,0.020258,1.968841,0.015574000000000001,1.968841,0.010874,1.968841,0.006163,1.968841,0.001446,1.968841,-0.0032719999999999997,1.968841,-0.007987000000000001,1.968841,-0.012694,1.968841,-0.017388999999999998,1.968841,-0.022065,1.968841,-0.026719999999999997,1.968841,-0.031348,1.968841,-0.035944,1.968841,-0.040504000000000005,1.968841,-0.045023,1.968841,-0.049497,1.968841,-0.053921000000000004,1.968841,-0.058289999999999995,1.968841,-0.062601,1.968841,-0.066849,1.968841,-0.07103,1.968841,-0.075139,1.968841,-0.079172,1.968841,-0.083126,1.968841,-0.086996,1.968841,-0.090779,1.968841,-0.09447,1.968841,-0.098065,1.968841,-0.101563,1.968841,-0.104958,1.968841,-0.108247,1.968841,-0.111427,1.968841,-0.114495,1.968841,-0.117448,1.968841,-0.120282,1.968841,-0.12299600000000001,1.968841,-0.125585,1.968841,-0.128048,1.968841,-0.130382,1.968841,-0.13258499999999998,1.968841,-0.134654,1.968841,-0.13658800000000001,1.968841,-0.13838399999999998,1.968841,-0.140041,1.968841,-0.141557,1.968841,-0.14293,1.968841,-0.14415999999999998,1.968841,-0.145244,1.968841,-0.146182,1.968841,-0.146973,1.968841,-0.147616,1.968841,-0.14811,1.968841,-0.148455,1.968841,-0.148651,1.968841,-0.148697,1.968841,-0.148593,1.968841,-0.148339,1.968841,-0.14793599999999998,1.968841,-0.147385,1.968841,-0.14668399999999998,1.968841,-0.145837,1.968841,-0.144842,1.968841,-0.143701,1.968841,-0.14241600000000001,1.968841,-0.140987,1.968841,-0.139417,1.968841,-0.137706,1.968841,-0.135856,1.968841,-0.13387000000000002,1.968841,-0.131748,1.968841,-0.129494,1.968841,-0.12711,1.968841,-0.124598,1.968841,-0.12195999999999999,1.968841,-0.1192,1.968841,-0.116319,1.968841,-0.113321,1.968841,-0.11020899999999999,1.968841,-0.10698699999999998,1.968841,-0.103656,1.968841,-0.100221,1.968841,-0.09668600000000001,1.968841,-0.093052,1.968841
7,0.028145,1.8706759999999998,0.024227000000000002,1.8706759999999998,0.020286000000000002,1.8706759999999998,0.016324,1.8706759999999998,0.012345,1.8706759999999998,0.008354,1.8706759999999998,0.0043549999999999995,1.8706759999999998,0.00035099999999999997,1.8706759999999998,-0.003653,1.8706759999999998,-0.007653,1.8706759999999998,-0.011646,1.8706759999999998,-0.015627000000000002,1.8706759999999998,-0.019592,1.8706759999999998,-0.023538,1.8706759999999998,-0.027460000000000002,1.8706759999999998,-0.031354,1.8706759999999998,-0.035216000000000004,1.8706759999999998,-0.039044,1.8706759999999998,-0.042831,1.8706759999999998,-0.046576,1.8706759999999998,-0.050274,1.8706759999999998,-0.053921000000000004,1.8706759999999998,-0.057513999999999996,1.8706759999999998,-0.061049,1.8706759999999998,-0.064522,1.8706759999999998,-0.06793099999999999,1.8706759999999998,-0.071271,1.8706759999999998,-0.074539,1.8706759999999998,-0.07773300000000001,1.8706759999999998,-0.080848,1.8706759999999998,-0.083881,1.8706759999999998,-0.08683099999999999,1.8706759999999998,-0.089692,1.8706759999999998,-0.092464,1.8706759999999998,-0.09514199999999999,1.8706759999999998,-0.097725,1.8706759999999998,-0.100209,1.8706759999999998,-0.102592,1.8706759999999998,-0.104872,1.8706759999999998,-0.107046,1.8706759999999998,-0.10911300000000002,1.8706759999999998,-0.111069,1.8706759999999998,-0.11291400000000001,1.8706759999999998,-0.11464500000000001,1.8706759999999998,-0.11626099999999999,1.8706759999999998,-0.11775999999999999,1.8706759999999998,-0.11914000000000001,1.8706759999999998,-0.1204,1.8706759999999998,-0.12153900000000001,1.8706759999999998,-0.122555,1.8706759999999998,-0.123448,1.8706759999999998,-0.12421700000000001,1.8706759999999998,-0.12486099999999999,1.8706759999999998,-0.125379,1.8706759999999998,-0.125771,1.8706759999999998,-0.12603599999999998,1.8706759999999998,-0.126174,1.8706759999999998,-0.126185,1.8706759999999998,-0.12606900000000001,1.8706759999999998,-0.125826,1.8706759999999998,-0.12545699999999999,1.8706759999999998,-0.12496099999999999,1.8706759999999998,-0.124339,1.8706759999999998,-0.12359200000000001,1.8706759999999998,-0.122721,1.8706759999999998,-0.121726,1.8706759999999998,-0.120609,1.8706759999999998,-0.11937,1.8706759999999998,-0.11800999999999999,1.8706759999999998,-0.116533,1.8706759999999998,-0.11493699999999998,1.8706759999999998,-0.113226,1.8706759999999998,-0.111401,1.8706759999999998,-0.109464,1.8706759999999998,-0.10741700000000001,1.8706759999999998,-0.105261,1.8706759999999998,-0.10299900000000001,1.8706759999999998,-0.100634,1.8706759999999998,-0.09816799999999999,1.8706759999999998,-0.09560199999999999,1.8706759999999998,-0.09294,1.8706759999999998,-0.090185,1.8706759999999998,-0.087339,1.8706759999999998,-0.084405,1.8706759999999998,-0.081386,1.8706759999999998,-0.07828500000000001,1.8706759999999998,-0.07510499999999999,1.8706759999999998,-0.07185,1.8706759999999998,-0.068522,1.8706759999999998,-0.065125,1.8706759999999998,-0.061663,1.8706759999999998,-0.058138,1.8706759999999998,-0.05455499999999999,1.8706759999999998,-0.050917000000000004,1.8706759999999998,-0.047228,1.8706759999999998,-0.043491,1.8706759999999998,-0.039711,1.8706759999999998,-0.03589,1.8706759999999998,-0.032034,1.8706759999999998,-0.028145,1.8706759999999998
8,0.081114,1.898379,0.075973,1.898379,0.070756,1.898379,0.065467,1.898379,0.060112,1.898379,0.054697,1.898379,0.049226,1.898379,0.043706999999999996,1.898379,0.038143,1.898379,0.03254,1.898379,0.026905000000000002,1.898379,0.021243,1.898379,0.01556,1.898379,0.009859999999999999,1.898379,0.004151,1.898379,-0.001562,1.898379,-0.007273999999999999,1.898379,-0.012978,1.898379,-0.01867,1.898379,-0.024342,1.898379,-0.02999,1.898379,-0.035608,1.898379,-0.04119,1.898379,-0.046731,1.898379,-0.052224,1.898379,-0.057665,1.898379,-0.063048,1.898379,-0.068367,1.898379,-0.07361799999999999,1.898379,-0.078794,1.898379,-0.083891,1.898379,-0.088904,1.898379,-0.093827,1.898379,-0.09865499999999999,1.898379,-0.10338499999999999,1.898379,-0.10801,1.898379,-0.112526,1.898379,-0.11692899999999999,1.898379,-0.121215,1.898379,-0.125378,1.898379,-0.129415,1.898379,-0.133322,1.898379,-0.137094,1.898379,-0.140729,1.898379,-0.14422100000000002,1.898379,-0.147569,1.898379,-0.150768,1.898379,-0.153815,1.898379,-0.15670699999999999,1.898379,-0.159442,1.898379,-0.16201600000000002,1.898379,-0.164426,1.898379,-0.16667200000000001,1.898379,-0.168749,1.898379,-0.170656,1.898379,-0.17239200000000002,1.898379,-0.173954,1.898379,-0.175341,1.898379,-0.17655099999999999,1.898379,-0.177584,1.898379,-0.178438,1.898379,-0.179112,1.898379,-0.179606,1.898379,-0.179918,1.898379,-0.18005,1.898379,-0.180001,1.898379,-0.17977,1.898379,-0.179358,1.898379,-0.178765,1.898379,-0.177993,1.898379,-0.177041,1.898379,-0.17591099999999998,1.898379,-0.174604,1.898379,-0.173122,1.898379,-0.171464,1.898379,-0.16963499999999998,1.898379,-0.167634,1.898379,-0.165465,1.898379,-0.163128,1.898379,-0.160628,1.898379,-0.157966,1.898379,-0.155145,1.898379,-0.152168,1.898379,-0.149037,1.898379,-0.145757,1.898379,-0.14232899999999998,1.898379,-0.138759,1.898379,-0.135048,1.898379,-0.13120199999999999,1.898379,-0.127223,1.898379,-0.123117,1.898379,-0.11888599999999999,1.898379,-0.11453599999999999,1.898379,-0.11007,1.898379,-0.105494,1.898379,-0.100811,1.898379,-0.096027,1.898379,-0.091146,1.898379,-0.086174,1.898379,-0.081114,1.898379
9,0.030677,1.8411790000000001,0.026572000000000002,1.8411790000000001,0.02244,1.8411790000000001,0.018286,1.8411790000000001,0.014113999999999998,1.8411790000000001,0.009927,1.8411790000000001,0.00573,1.8411790000000001,0.0015279999999999998,1.8411790000000001,-0.002676,1.8411790000000001,-0.006878,1.8411790000000001,-0.011072,1.8411790000000001,-0.015256,1.8411790000000001,-0.019423,1.8411790000000001,-0.023572,1.8411790000000001,-0.027696,1.8411790000000001,-0.031793,1.8411790000000001,-0.035858,1.8411790000000001,-0.039887,1.8411790000000001,-0.043875,1.8411790000000001,-0.047819,1.8411790000000001,-0.051716,1.8411790000000001,-0.055560000000000005,1.8411790000000001,-0.059348000000000005,1.8411790000000001,-0.063076,1.8411790000000001,-0.066741,1.8411790000000001,-0.070339,1.8411790000000001,-0.073866,1.8411790000000001,-0.077318,1.8411790000000001,-0.080693,1.8411790000000001,-0.083986,1.8411790000000001,-0.08719500000000001,1.8411790000000001,-0.090316,1.8411790000000001,-0.093346,1.8411790000000001,-0.096282,1.8411790000000001,-0.099121,1.8411790000000001,-0.10186,1.8411790000000001,-0.104497,1.8411790000000001,-0.107029,1.8411790000000001,-0.109452,1.8411790000000001,-0.111766,1.8411790000000001,-0.11396700000000001,1.8411790000000001,-0.116053,1.8411790000000001,-0.118023,1.8411790000000001,-0.11987300000000001,1.8411790000000001,-0.121603,1.8411790000000001,-0.12320999999999999,1.8411790000000001,-0.124694,1.8411790000000001,-0.126052,1.8411790000000001,-0.127282,1.8411790000000001,-0.128385,1.8411790000000001,-0.129359,1.8411790000000001,-0.13020199999999998,1.8411790000000001,-0.130914,1.8411790000000001,-0.131494,1.8411790000000001,-0.131942,1.8411790000000001,-0.13225699999999999,1.8411790000000001,-0.132439,1.8411790000000001,-0.132487,1.8411790000000001,-0.132402,1.8411790000000001,-0.132184,1.8411790000000001,-0.131833,1.8411790000000001,-0.131349,1.8411790000000001,-0.130732,1.8411790000000001,-0.129984,1.8411790000000001,-0.129105,1.8411790000000001,-0.12809700000000002,1.8411790000000001,-0.126959,1.8411790000000001,-0.125693,1.8411790000000001,-0.124301,1.8411790000000001,-0.12278299999999999,1.8411790000000001,-0.12114200000000001,1.8411790000000001,-0.119379,1.8411790000000001,-0.117496,1.8411790000000001,-0.115495,1.8411790000000001,-0.11337699999999999,1.8411790000000001,-0.11114500000000001,1.8411790000000001,-0.108801,1.8411790000000001,-0.106347,1.8411790000000001,-0.10378699999999999,1.8411790000000001,-0.101122,1.8411790000000001,-0.098355,1.8411790000000001,-0.095489,1.8411790000000001,-0.092527,1.8411790000000001,-0.089472,1.8411790000000001,-0.086327,1.8411790000000001,-0.083094,1.8411790000000001,-0.079778,1.8411790000000001,-0.076382,1.8411790000000001,-0.072909,1.8411790000000001,-0.069363,1.8411790000000001,-0.065746,1.8411790000000001,-0.062064,1.8411790000000001,-0.058317999999999995,1.8411790000000001,-0.054515,1.8411790000000001,-0.050656,1.8411790000000001,-0.046745999999999996,1.8411790000000001,-0.042789999999999995,1.8411790000000001,-0.03879,1.8411790000000001,-0.034751,1.8411790000000001,-0.030677,1.8411790000000001
